STATE ID,NUMBER OF FIRES
OR,1
IL,0
MT,0
AK,0
TX,0
WA,5
ID,0
CO,1
NM,1
AZ,3
CA,1
MN,0
UT,0
LA,0
HI,0
MS,0
MA,2
MI,0
AL,0
