STATE ID,NUMBER OF FIRES
OR,12
IL,0
MT,0
AK,0
TX,0
WA,6
ID,6
CO,1
NM,1
AZ,2
CA,28
MN,1
UT,1
LA,4
HI,1
MS,0
MA,0
MI,0
AL,0
