STATE ID,NUMBER OF FIRES
OR,1
IL,1
MT,0
AK,0
TX,0
WA,0
ID,0
CO,0
NM,0
AZ,0
CA,0
MN,0
UT,0
LA,0
HI,0
MS,0
MA,0
MI,0
AL,0
