STATE ID,NUMBER OF FIRES
OR,2
IL,0
MT,5
AK,2
TX,1
WA,2
ID,0
CO,1
NM,0
AZ,0
CA,0
MN,0
UT,0
LA,0
HI,0
MS,0
MA,0
MI,0
AL,0
